,STATE,Year,O3 (in ppm)
655,Kentucky,1987,0.051981173594132034
656,Kentucky,1988,0.05216424525978823
657,Kentucky,1989,0.04401905507700339
658,Kentucky,1990,0.04355164670658683
659,Kentucky,1991,0.04299158957106812
660,Kentucky,1992,0.04181211467324291
661,Kentucky,1993,0.04450072244844345
662,Kentucky,1994,0.048417510944340214
663,Kentucky,1995,0.049780235233955514
664,Kentucky,1996,0.04605018422055648
665,Kentucky,1997,0.0454967618133845
666,Kentucky,1998,0.051663122685461714
667,Kentucky,1999,0.0543877046284301
668,Kentucky,2000,0.046941275344048745
669,Kentucky,2001,0.047286509462605
670,Kentucky,2002,0.04654498879282741
671,Kentucky,2003,0.045148381490332394
672,Kentucky,2004,0.042362276422764224
673,Kentucky,2005,0.04683121841661987
674,Kentucky,2006,0.04466913698302653
675,Kentucky,2007,0.050226826484018265
676,Kentucky,2008,0.045786536449250084
677,Kentucky,2009,0.04066941457586619
678,Kentucky,2010,0.046884128878281625
679,Kentucky,2011,0.044708348612639046
680,Kentucky,2012,0.04672456140350877
681,Kentucky,2013,0.041143429487179486
682,Kentucky,2014,0.04191871146344532
683,Kentucky,2015,0.04091734240125556
684,Kentucky,2016,0.04165402783097153
685,Kentucky,2017,0.04099064821931848
686,Kentucky,2018,0.040066965462694434
687,Kentucky,2019,0.04129612005856516
688,Kentucky,2020,0.03546422128683103
689,Louisiana,1980,0.03634062684801892
690,Louisiana,1981,0.04133145464304885
691,Louisiana,1982,0.03592093567251462
692,Louisiana,1983,0.03449686956521739
693,Louisiana,1984,0.034117196231837774
694,Louisiana,1985,0.03886340786964812
695,Louisiana,1986,0.03981514589306797
696,Louisiana,1987,0.04466189111747851
697,Louisiana,1988,0.04319230102306225
698,Louisiana,1989,0.03805371362385985
699,Louisiana,1990,0.04124971639251276
700,Louisiana,1991,0.03651276813074566
701,Louisiana,1992,0.03799690864513378
702,Louisiana,1993,0.03866213991769547
703,Louisiana,1994,0.03858124174372523
704,Louisiana,1995,0.041761163134549036
705,Louisiana,1996,0.03927258521339975
706,Louisiana,1997,0.04107450411223996
707,Louisiana,1998,0.040406098546042005
708,Louisiana,1999,0.043421929644106155
709,Louisiana,2000,0.04365084303492573
710,Louisiana,2001,0.04023848075962019
711,Louisiana,2002,0.037791868442292174
712,Louisiana,2003,0.04010926986039972
713,Louisiana,2004,0.03936047916247232
714,Louisiana,2005,0.04363904945407836
715,Louisiana,2006,0.04326310083122516
716,Louisiana,2007,0.040479999999999995
717,Louisiana,2008,0.03896424593450658
