,STATE,Year,CO (in ppm)
1235,New Mexico,1987,2.222822822822823
1236,New Mexico,1988,1.7905848787446506
1237,New Mexico,1989,1.8429993964996982
1238,New Mexico,1990,1.6082562958240358
1239,New Mexico,1991,1.5447089096172402
1240,New Mexico,1992,1.4667327293318233
1241,New Mexico,1993,1.411011293634497
1242,New Mexico,1994,1.346344580777096
1243,New Mexico,1995,1.2933871387659464
1244,New Mexico,1996,1.0759506421556284
1245,New Mexico,1997,0.8754985044865404
1246,New Mexico,1998,1.0090282727488715
1247,New Mexico,1999,1.0271332436069986
1248,New Mexico,2000,0.9314651721377101
1249,New Mexico,2001,0.9779530588687956
1250,New Mexico,2002,0.7938232161874333
1251,New Mexico,2003,0.7327202323330105
1252,New Mexico,2004,0.564885290148448
1253,New Mexico,2005,0.5588268792710706
1254,New Mexico,2006,0.5195703354914656
1255,New Mexico,2007,0.47784568372803665
1256,New Mexico,2008,0.5467430207587688
1257,New Mexico,2009,0.6037096774193549
1258,New Mexico,2010,0.5082427536231884
1259,New Mexico,2011,0.587177033492823
1260,New Mexico,2012,0.5105882352941177
1261,New Mexico,2013,0.3532423208191126
1262,New Mexico,2014,0.3360655737704918
1263,New Mexico,2015,0.31405325443786986
1264,New Mexico,2016,0.3353566009104704
1265,New Mexico,2017,0.31255742725880553
1266,New Mexico,2018,0.31668965517241376
1267,New Mexico,2019,0.27023319615912206
1268,New York,1980,1.9778948909383691
1269,New York,1981,2.0563046757164405
1270,New York,1982,1.9520247809005742
1271,New York,1983,2.1643353783231083
1272,New York,1984,2.805759395152324
1273,New York,1985,3.0315917644454284
1274,New York,1986,2.9368051118210863
1275,New York,1987,2.9361819727891154
1276,New York,1988,2.3367258464079272
1277,New York,1989,2.2855143721633886
1278,New York,1990,2.108569166831585
1279,New York,1991,2.057887623093261
1280,New York,1992,1.8698892843020956
1281,New York,1993,1.7618785656071718
1282,New York,1994,1.7462771353215663
1283,New York,1995,1.5203954802259887
1284,New York,1996,1.4547374539817863
1285,New York,1997,1.2785200605601816
1286,New York,1998,1.1673676706469436
1287,New York,1999,1.1350219520432288
1288,New York,2000,1.0274434782608697
1289,New York,2001,0.9028631652907079
1290,New York,2002,0.7722607189259421
1291,New York,2003,0.8112187429601262
1292,New York,2004,0.6820089601509078
1293,New York,2005,0.6107606207071992
1294,New York,2006,0.575955289836236
1295,New York,2007,0.5330094466936572
1296,New York,2008,0.4676143706384079
1297,New York,2009,0.4376163391933816
1298,New York,2010,0.45691797845898924
1299,New York,2011,0.42817893624515674
1300,New York,2012,0.3703409467063886
1301,New York,2013,0.3480546357615894
1302,New York,2014,0.3441594317284925
1303,New York,2015,0.32378068218042716
1304,New York,2016,0.2973156532988357
1305,New York,2017,0.21790160047421459
1306,New York,2018,0.32193422519509474
1307,New York,2019,0.3140716069941715
1308,New York,2020,0.35571955719557197
1309,North Carolina,1980,3.642168674698795
1310,North Carolina,1981,3.1306153265383165
1311,North Carolina,1982,3.0462787015043546
1312,North Carolina,1983,3.01307974641308
1313,North Carolina,1984,3.0809551043751786
1314,North Carolina,1985,2.6028500276701716
1315,North Carolina,1986,2.92716119828816
1316,North Carolina,1987,2.5898785425101214
1317,North Carolina,1988,2.4879249388088116
1318,North Carolina,1989,2.37590051457976
1319,North Carolina,1990,2.241574867401061
1320,North Carolina,1991,2.1006458333333335
1321,North Carolina,1992,1.8935995414596867
1322,North Carolina,1993,1.6753811503811502
1323,North Carolina,1994,1.4802281368821293
1324,North Carolina,1995,1.3567510250247419
1325,North Carolina,1996,1.312891986062718
1326,North Carolina,1997,1.3267055879899918
1327,North Carolina,1998,1.3394701986754967
1328,North Carolina,1999,1.2387932960893855
1329,North Carolina,2000,1.0887625236934741
1330,North Carolina,2001,1.0321853475266125
1331,North Carolina,2002,0.9917254174397031
1332,North Carolina,2003,0.9881076388888889
1333,North Carolina,2004,0.8713863060016905
1334,North Carolina,2005,0.8212871287128712
1335,North Carolina,2006,0.7626698641087131
1336,North Carolina,2007,0.6600394477317555
1337,North Carolina,2008,0.5917450812660393
1338,North Carolina,2009,0.5263703703703704
1339,North Carolina,2010,0.5374160206718347
1340,North Carolina,2011,0.5008138903960934
1341,North Carolina,2012,0.42064308681672025
1342,North Carolina,2013,0.42841803865425915
1343,North Carolina,2014,0.42240484429065744
1344,North Carolina,2015,0.40753623188405796
1345,North Carolina,2016,0.3524425287356322
1346,North Carolina,2017,0.3718021201413428
1347,North Carolina,2018,0.3668302945301543
1348,North Carolina,2019,0.4013831258644536
1349,North Carolina,2020,0.40053763440860213
1350,North Dakota,1990,0.3229166666666667
1351,North Dakota,1991,1.1038709677419354
1352,North Dakota,1992,1.160759493670886
1353,North Dakota,1993,1.1271084337349397
1354,North Dakota,1994,1.1311827956989247
1355,North Dakota,2008,0.21460674157303372
1356,North Dakota,2009,0.20336134453781515
1357,North Dakota,2010,0.20974930362116992
1358,North Dakota,2011,0.19646017699115048
1359,North Dakota,2012,0.20921787709497208
1360,North Dakota,2013,0.18115015974440896
1361,North Dakota,2014,0.1917763157894737
1362,North Dakota,2015,0.20222222222222222
1363,North Dakota,2016,0.20656250000000004
1364,North Dakota,2017,0.21448863636363635
1365,North Dakota,2018,0.2029325513196481
1366,North Dakota,2019,0.1978082191780822
1367,Ohio,1980,2.258804228946409
1368,Ohio,1981,2.0689882136843716
1369,Ohio,1982,2.076962951669462
1370,Ohio,1983,1.9952338792976245
1371,Ohio,1984,1.987524965432478
1372,Ohio,1985,1.8208551215010766
1373,Ohio,1986,1.8113576594345824
1374,Ohio,1987,1.8686414891712906
1375,Ohio,1988,1.853659000190078
1376,Ohio,1989,1.6854428044280443
1377,Ohio,1990,1.5408304498269898
1378,Ohio,1991,1.327973228076197
1379,Ohio,1992,1.3717100200092351
1380,Ohio,1993,1.1843551484709705
1381,Ohio,1994,1.2417025063028324
1382,Ohio,1995,1.0529904306220095
1383,Ohio,1996,1.0687863191100782
1384,Ohio,1997,0.956086956521739
1385,Ohio,1998,0.9750552224676553
1386,Ohio,1999,0.9193968358602504
1387,Ohio,2000,0.8845727565248481
1388,Ohio,2001,0.826336011177087
1389,Ohio,2002,0.7676285414480588
1390,Ohio,2003,0.7719347482897737
1391,Ohio,2004,0.7511944755505786
1392,Ohio,2005,0.6911658767772512
1393,Ohio,2006,0.5992959163146248
1394,Ohio,2007,0.5700324412003245
1395,Ohio,2008,0.5366856871136472
1396,Ohio,2009,0.46638418079096045
1397,Ohio,2010,0.5201820940819424
1398,Ohio,2011,0.4567878077373974
1399,Ohio,2012,0.49407343162763806
1400,Ohio,2013,0.5102701181767023
1401,Ohio,2014,0.37975115881922417
1402,Ohio,2015,0.3577191129883844
1403,Ohio,2016,0.36083283041641523
1404,Ohio,2017,0.316021986970684
1405,Ohio,2018,0.3185700099304866
1406,Ohio,2019,0.29015421115065243
1407,Ohio,2020,0.2928783382789318
1408,Oklahoma,1980,2.4868715083798882
1409,Oklahoma,1981,2.0479582146248814
1410,Oklahoma,1982,1.8350037965072132
1411,Oklahoma,1983,1.518970893970894
1412,Oklahoma,1984,1.3828543594739406
1413,Oklahoma,1985,1.379932950191571
1414,Oklahoma,1986,1.5848571428571427
1415,Oklahoma,1987,1.5509433962264152
1416,Oklahoma,1988,1.4635235732009924
1417,Oklahoma,1989,1.590068493150685
1418,Oklahoma,1990,1.3792273236282195
1419,Oklahoma,1991,1.3692480359147026
1420,Oklahoma,1992,1.2791420118343195
1421,Oklahoma,1993,1.2064591078066915
1422,Oklahoma,1994,1.1927556818181817
1423,Oklahoma,1995,1.2508474576271187
1424,Oklahoma,1996,1.1549693251533741
1425,Oklahoma,1997,1.1229098090849243
1426,Oklahoma,1998,1.0768310196266155
1427,Oklahoma,1999,0.9323704333050128
1428,Oklahoma,2000,0.7512384473197782
1429,Oklahoma,2001,0.7024327784891166
1430,Oklahoma,2002,0.6161406969099277
1431,Oklahoma,2003,0.5265127388535031
1432,Oklahoma,2004,0.27632020117351214
1433,Oklahoma,2005,0.3044067796610169
1434,Oklahoma,2006,0.3536935704514364
1435,Oklahoma,2007,0.4039655172413793
1436,Oklahoma,2008,0.3391574585635359
1437,Oklahoma,2009,0.4258137774413323
1438,Oklahoma,2010,0.37481840193704596
1439,Oklahoma,2011,0.31858695652173913
1440,Oklahoma,2012,0.2679245283018868
1441,Oklahoma,2013,0.25100401606425704
1442,Oklahoma,2014,0.23131604226705094
1443,Oklahoma,2015,0.3225419664268585
1444,Oklahoma,2016,0.3449573863636364
1445,Oklahoma,2017,0.36262848751835536
1446,Oklahoma,2018,0.3540560471976401
1447,Oklahoma,2019,0.34942084942084944
1448,Oklahoma,2020,0.45483870967741935
1449,Oregon,1980,4.3676735798016235
1450,Oregon,1981,4.068641362185172
1451,Oregon,1982,3.595356145251397
1452,Oregon,1983,3.6700801114594217
1453,Oregon,1984,3.497379454926625
1454,Oregon,1985,3.5369360597208694
1455,Oregon,1986,3.457098860486603
1456,Oregon,1987,3.24447123665174
1457,Oregon,1988,3.2409580193756726
1458,Oregon,1989,3.5103065005052208
1459,Oregon,1990,3.4385855624770976
1460,Oregon,1991,3.42417695473251
1461,Oregon,1992,3.0539676966292135
1462,Oregon,1993,2.90216271884655
1463,Oregon,1994,2.800345184673801
1464,Oregon,1995,2.5864027538726333
1465,Oregon,1996,2.507430997876858
1466,Oregon,1997,2.4657731958762885
1467,Oregon,1998,2.2609899619245413
1468,Oregon,1999,2.122031523642732
1469,Oregon,2000,1.9902226861517047
1470,Oregon,2001,1.8143557422969188
1471,Oregon,2002,1.7119451461566222
1472,Oregon,2003,1.5494826311899481
1473,Oregon,2004,1.428026412325752
1474,Oregon,2005,1.2854977468250717
1475,Oregon,2006,1.0814224402207235
1476,Oregon,2007,0.8590496156533892
1477,Oregon,2008,0.7123066104078762
1478,Oregon,2009,0.6683588317107093
1479,Oregon,2010,0.6041899441340782
1480,Oregon,2011,0.5191780821917809
1481,Oregon,2012,0.47031700288184436
1482,Oregon,2013,0.44540059347181005
1483,Oregon,2014,0.394017094017094
1484,Oregon,2015,0.49
1485,Oregon,2016,0.3993630573248408
1486,Oregon,2017,0.3852713178294574
1487,Oregon,2018,0.42344827586206896
1488,Oregon,2019,0.31666666666666665
1489,Pennsylvania,1980,2.7644465740297077
1490,Pennsylvania,1981,2.7875739644970414
1491,Pennsylvania,1982,1.9171736869474778
1492,Pennsylvania,1983,1.8884640241275312
1493,Pennsylvania,1984,1.8379612792812063
1494,Pennsylvania,1985,1.6468315109343938
1495,Pennsylvania,1986,1.7106890459363957
1496,Pennsylvania,1987,1.7202541883304447
1497,Pennsylvania,1988,1.594700045105999
1498,Pennsylvania,1989,1.6395959846325443
1499,Pennsylvania,1990,1.556156626506024
1500,Pennsylvania,1991,1.374701127177502
1501,Pennsylvania,1992,1.3088627276765883
1502,Pennsylvania,1993,1.2205931595312127
1503,Pennsylvania,1994,1.259121791645697
1504,Pennsylvania,1995,1.086656690360394
1505,Pennsylvania,1996,1.119463741620963
1506,Pennsylvania,1997,0.8355538081330038
1507,Pennsylvania,1998,0.786517199017199
1508,Pennsylvania,1999,0.7106787992887773
1509,Pennsylvania,2000,0.6387583148558759
1510,Pennsylvania,2001,0.6377960636050262
1511,Pennsylvania,2002,0.5178538812785388
1512,Pennsylvania,2003,0.5243071593533487
1513,Pennsylvania,2004,0.5364663757413002
1514,Pennsylvania,2005,0.4510421491431218
1515,Pennsylvania,2006,0.4397002398081535
1516,Pennsylvania,2007,0.405793991416309
1517,Pennsylvania,2008,0.3204965662968833
1518,Pennsylvania,2009,0.3183954933954934
1519,Pennsylvania,2010,0.37649097209556814
1520,Pennsylvania,2011,0.33106150962685293
1521,Pennsylvania,2012,0.32173988239363543
1522,Pennsylvania,2013,0.2454347096341054
1523,Pennsylvania,2014,0.32561933534743204
1524,Pennsylvania,2015,0.37712712712712715
1525,Pennsylvania,2016,0.3505750063889599
1526,Pennsylvania,2017,0.32941024980685035
1527,Pennsylvania,2018,0.3570155902004455
1528,Pennsylvania,2019,0.36121246140892505
1529,Puerto Rico,1981,3.6885608856088563
1530,Puerto Rico,1982,3.863038277511962
1531,Puerto Rico,1983,3.3808486238532107
1532,Puerto Rico,1984,2.8585798816568047
1533,Puerto Rico,1985,3.358947368421053
1534,Puerto Rico,1986,3.2001574803149606
1535,Puerto Rico,1987,2.142123287671233
1536,Puerto Rico,1988,2.9393700787401578
1537,Puerto Rico,1989,2.7850694444444444
1538,Puerto Rico,1990,2.406462035541195
1539,Puerto Rico,1991,2.869565217391304
1540,Puerto Rico,1992,2.8650695517774345
1541,Puerto Rico,1993,2.773037037037037
1542,Puerto Rico,1994,2.4771028037383176
1543,Puerto Rico,1995,2.7581569115815694
1544,Puerto Rico,1996,2.715204081632653
1545,Puerto Rico,1997,2.4078749999999998
1546,Puerto Rico,1998,2.6391592920353983
1547,Puerto Rico,1999,2.750802139037433
1548,Puerto Rico,2000,2.3904761904761904
1549,Puerto Rico,2001,2.103903903903904
1550,Puerto Rico,2002,2.000433839479393
1551,Puerto Rico,2003,2.2160344827586207
1552,Puerto Rico,2004,2.1009541984732825
1553,Puerto Rico,2005,1.8118032786885248
1554,Puerto Rico,2006,1.56840490797546
1555,Puerto Rico,2007,1.3487101669195751
1556,Puerto Rico,2008,1.2845564074479736
1557,Puerto Rico,2009,1.2126086956521738
1558,Puerto Rico,2010,1.0541069100391134
1559,Puerto Rico,2011,1.037725631768953
1560,Puerto Rico,2012,1.121483942414175
1561,Puerto Rico,2013,0.9764762826718296
1562,Puerto Rico,2014,0.9383867832847425
1563,Puerto Rico,2015,0.7661607142857143
1564,Puerto Rico,2016,0.984093023255814
1565,Puerto Rico,2017,0.5022222222222222
1566,Puerto Rico,2018,0.5592997811816193
1567,Puerto Rico,2019,0.6227305737109659
1568,Rhode Island,1980,3.0857657657657658
1569,Rhode Island,1981,2.3595065312046444
1570,Rhode Island,1982,2.5223011363636365
1571,Rhode Island,1983,2.3903631284916202
1572,Rhode Island,1984,2.3689111747851004
1573,Rhode Island,1985,2.080952380952381
1574,Rhode Island,1986,2.2684285714285717
1575,Rhode Island,1987,2.204857142857143
1576,Rhode Island,1988,2.0322268326417703
1577,Rhode Island,1989,1.7419540229885058
1578,Rhode Island,1990,1.7057665260196906
1579,Rhode Island,1991,1.5612499999999998
1580,Rhode Island,1992,1.5556868537666175
