,STATE,Year,NO2 (in ppb)
1095,New Mexico,2019,14.130065876152832
1096,New Mexico,2020,10.027472527472527
1097,New York,1980,49.111632759520084
1098,New York,1981,46.570598006644516
1099,New York,1982,49.251315789473686
1100,New York,1983,47.57601510859301
1101,New York,1984,43.326651480637814
1102,New York,1985,42.13641245972073
1103,New York,1986,48.05376910911966
1104,New York,1987,45.245437079731026
1105,New York,1988,41.85666023166023
1106,New York,1989,47.00056274620146
1107,New York,1990,48.26160520607375
1108,New York,1991,46.70506692160612
1109,New York,1992,39.14435695538058
1110,New York,1993,42.09368308351178
1111,New York,1994,47.97161037689672
1112,New York,1995,43.67162554426705
1113,New York,1996,44.034919416730624
1114,New York,1997,42.06842692450725
1115,New York,1998,41.47771103382864
1116,New York,1999,44.171202809482004
1117,New York,2000,42.18228424950156
1118,New York,2001,41.454081632653065
1119,New York,2002,40.286683904330964
1120,New York,2003,39.07363253856943
1121,New York,2004,36.90408092082316
1122,New York,2005,38.1554337310545
1123,New York,2006,35.263083948015456
1124,New York,2007,33.26275679257787
1125,New York,2008,32.04546114742193
1126,New York,2009,26.306004859423812
1127,New York,2010,22.990274841437632
1128,New York,2011,21.006666666666668
1129,New York,2012,24.250455062571106
1130,New York,2013,27.086834047764853
1131,New York,2014,24.54358585858586
1132,New York,2015,25.516209677419354
1133,New York,2016,23.631426202321723
1134,New York,2017,22.948712288447386
1135,New York,2018,25.038972431077696
1136,New York,2019,23.083891850723536
1137,New York,2020,24.253898305084743
1138,North Carolina,1982,33.42356020942408
1139,North Carolina,1984,33.61642036124795
1140,North Carolina,1985,35.032863849765256
1141,North Carolina,1986,36.225114854517614
1142,North Carolina,1987,32.090504451038576
1143,North Carolina,1988,34.48011363636363
1144,North Carolina,1989,29.6152362584378
1145,North Carolina,1990,32.59391304347826
1146,North Carolina,1991,31.68594306049822
1147,North Carolina,1992,31.637914691943127
1148,North Carolina,1993,27.59796044499382
1149,North Carolina,1994,22.317475270843147
1150,North Carolina,1995,32.50374812593703
1151,North Carolina,1996,30.789931972789113
1152,North Carolina,1997,34.52932761087268
1153,North Carolina,1998,34.98446327683616
1154,North Carolina,1999,35.3299856527977
1155,North Carolina,2000,34.99811676082862
1156,North Carolina,2001,33.828445747800586
1157,North Carolina,2002,29.976878612716764
1158,North Carolina,2003,29.947148817802503
1159,North Carolina,2004,28.235376044568245
1160,North Carolina,2005,27.132218844984802
1161,North Carolina,2006,26.978003384094755
1162,North Carolina,2007,28.713276836158194
1163,North Carolina,2008,25.6875
1164,North Carolina,2009,23.527985074626866
